ticket,symbol,strategy,direction,volume,open_time_utc,entry_price,sl_price,tp_price,close_time_utc,exit_price,exit_reason,duration_minutes,realized_pnl_usd,entry_spread,entry_atr,entry_bid_ask_spread_pct,max_floating_pnl_seen,min_floating_pnl_seen
8747216469,AUDJPY,momentum60_T,BUY,0.33,2026-05-21T20:51:57+00:00,113.835,111.513,115.825,2026-05-21T20:51:57+00:00,113.835,close,0.0,0.00,0.005000000000009663,1.07792857142857,0.004392573037516671,4.99,-58.23
8747539074,XAUUSD,donchian20,SELL,0.01,2026-05-21T21:04:34+00:00,4546.39,4756.85,3912.4,2026-05-22T08:16:47+00:00,0.0,unknown,672.2,0.00,0.17000000000007276,104.28499999999993,0.003755897587721148,29.18,12.06
8751538627,EURCAD,rsi2,SELL,0.49,2026-05-22T05:59:00+00:00,1.6010499999999999,1.6143800000000001,1.57891,2026-05-22T08:16:47+00:00,0.0,unknown,137.8,0.00,4.0000000000040004e-05,0.00709428571428572,0.0024973933456979283,22.73,-32.33
8752009540,GBPAUD,rsi2_H1,BUY,1.35,2026-05-22T07:00:01+00:00,1.8805399999999999,1.87643,1.88367,2026-05-22T08:16:47+00:00,0.0,unknown,76.8,0.00,9.000000000014552e-05,0.012072857142857123,0.004786253878867653,215.60,-98.40
8751537478,USDJPY,momentum60_T,BUY,0.42,2026-05-22T05:58:53+00:00,159.052,157.044,160.796,2026-05-22T08:16:47+00:00,0.0,unknown,137.9,0.00,0.002999999999985903,0.9377857142857177,0.0018858969482955597,22.96,5.54
8751537387,USDJPY,consensus,BUY,0.48,2026-05-22T05:58:53+00:00,159.051,157.279,160.327,2026-05-22T08:16:47+00:00,0.0,unknown,137.9,0.00,0.002999999999985903,0.9377857142857177,0.0018858969482955597,26.54,6.64
8751537549,USDJPY,momentum60,BUY,0.42,2026-05-22T05:58:53+00:00,159.052,157.044,161.733,2026-05-22T08:16:47+00:00,0.0,unknown,137.9,0.00,0.002999999999985903,0.9377857142857177,0.0018858969482955597,22.96,5.54
8747538894,XAUUSD,donchian20_T,SELL,0.01,2026-05-21T21:04:33+00:00,4546.63,4756.85,4229.07,2026-05-22T08:16:47+00:00,0.0,unknown,672.2,0.00,0.17000000000007276,104.28499999999993,0.003755897587721148,29.42,12.30
8747216751,EURCHF,3day_reverse,SELL,0.88,2026-05-21T20:51:57+00:00,0.91384,0.91926,0.91181,2026-05-22T08:16:47+00:00,0.0,unknown,684.8,0.00,4.999999999999449e-05,0.002922142857142857,0.005473963094540213,133.53,-6.37
8755091277,XAGUSD,momentum60_H1,BUY,0.05,2026-05-22T11:10:46+00:00,76.069,74.727,77.98,2026-05-22T08:16:47+00:00,0.0,unknown,-174.0,0.00,0.018000000000000682,4.557928571428571,0.02366179408981055,20.50,-20.75
8747539003,XAUUSD,momentum60_T,SELL,0.01,2026-05-21T21:04:34+00:00,4546.41,4756.85,4334.63,2026-05-22T08:16:47+00:00,0.0,unknown,672.2,0.00,0.17000000000007276,104.28499999999993,0.003755897587721148,29.20,12.08
